,anime_id,name,type,rating,genre,episodes,creators,aired_year,awards_no,descript
31,102,Cardcaptor Sakura,TV Series,7.93,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, School, Shoujo",70,17,1998,0,"Kinomoto Sakura is appointed Card Captor by the Guardian of the Seal, Cerberus, when she accidentally opens the magical book of Clow Cards and scatters them to the four winds. To protect the world from disaster she must capture all of the Clow Cards with the help of her friend Tomoyo and Cerberus.
	"
32,103,Kaze no Youjinbou,TV Series,7.54,"Action, Drama, Mystery, Shounen",25,11,2001,0,"* Based on Academy Award Winner Kurosawa Akira's 1961 masterpiece, Yojimbo.Kodama Jouji is a pretty intelligent tough guy investigating an incident that occurred in the small town of Kimujuku over 15 years ago. However, the local town folk have been feeling a bit uneasy since the arrival of this wandering stranger.
Jouji is soon caught up in the middle of a bloody gang fight as both groups fight for overall control of the town. Amidst the fighting, shootings, and deadly alliances, will Jouji find the clues to his mystery or will he find himself face down in a body-bag?
	"
33,107,Chikyuu Shoujo Arjuna,TV Series,6.91,"Adventure, Drama, Magic, Sci-Fi",12,15,2001,0,"When Ariyoshi Juna has a bad accident, her spirit turns to light and rises up out of her body into the night sky where she gets a glimpse of Earth a few months in the future. What she sees is the Earth on the brink of total destruction, ruled by the merciless demon forces called the Raajas. Then Chris Hawken hands Juna a power stone and tells her to use it to save the Earth. The power stone gives her the ability to call up an aura suit, that activates and enhances a person's dormant special powers.Source: AnimeNfo
	"
34,108,Galaxy Angel,TV Series,7.21,"Comedy, Sci-Fi",24,13,2001,0,"The work of an angel is never done Ã¢ÂÂ there are dogs that need walking, rooms that need to be cleaned, and all sorts of work to be done. Oh well, such is the life of a Galaxy Angel.
Meet Mille Fille, an overly optimistic, hot blooded girl who is at times a troublemaker and too quick to act (but most people don't mind because she's just so cute). Vanilla H, a shy girl who only speaks when spoken to, but when given orders she does her utmost to carry them out. Ranfua Framboise, strong-willed and tough on the outside but actually quite shy. Mint Blamanche, with a baby face and cat ears, she's quiet, gentle and really cute but also quite business savvy. And Forte Citroen, a very cut-and-dried type of person whose hobbies include carrying a whip, shooting off missiles, and collecting firearms.Source: AnimeNfo
	"
35,109,Mahoromatic: Automatic Maiden,TV Series,7.57,"Comedy, Ecchi, Military, Romance, Sci-Fi",12,17,2001,1,"In the hushed-up war against Saint, mankind has been saved countless times by an android named Andou Mahoro. After her last battle, Mahoro discovers that if she stays in her full battle mode, she only has a limited lifespan left to her. If her armaments are removed, Mahoro has a new lease on life and the freedom to live it as she pleases â for another 398 days at least. So what should an android with a little over a year left do?Misato Suguru, a 14-year-old orphan, hires Mahoro on as a maid. Poor Suguru has no idea of Mahoro's past life, or her deep connection to him. But he is not one to complain as Mahoro moves in. His friends find this suspicious though, and his homeroom teacher Shikijou Saori becomes rather jealous. Now Suguru just has to come to terms with the fact that his beautiful maid is actually only 9 years old and an android!
	"
36,114,"Ima, Soko ni Iru Boku",TV Series,7.89,"Adventure, Drama, Fantasy, Military, Sci-Fi",13,14,1999,0,"While walking home from a somewhat bad, but regular day of school, Matsutani Shuuzou (short ""Shuu""), the main protagonist, spots a girl on top of a smoke stack in an industrial park where he used to hang out as a young child. Shuu tries numerous attempts to communicate with the young girl but she acts rather emotionless and quiet, and hardly acknowledges his presence. After decoding her name from her lips (Lala-Ru) the only other piece of information he finds out about her is her love of watching sunsets. There is a sudden explosion and time stops; Shuu finds himself defending Lala-Ru from abductors in mechanized snakes. After attempting to defend the girl, he is caught in a transportation to the world from which the strangers hail, a wasteland devoid of water and dominated by a red giant star. Lala-Ru possesses a pendant containing a vast reservoir of water, and has the ability to control that water.
Shuu is trapped in this new, harsh reality, and he is beaten and interrogated repeatedly inside the warship commanded by the ruthless, manic dictator, Hamdo. While locked in a cell he meets an abducted girl who introduces herself as Sara Ringwalt of America. Sara's reason for her capture was being mistaken for Lala-Ru by Hamdo's minions. Sara goes through extremely horrific experiences and eventually becomes emotionally scarred. After an assault by an unknown enemy landship, Shuu is forced to join an army of child soldiers; children trained to for the looting of villages, in which they kidnap female villagers for breeding, and conscript orphaned male children into the ever dwindling ranks of Hamdo's army.Source: Wikipedia
	"
37,116,Comic Party,TV Series,6.75,"Comedy, Drama",13,16,2001,0,"Sendou Kazuki is a third year in high school, taking it easy, because he has already passed the college entrance exams. One day, he is invited by Kuhonbutsu Taishi to go to a Fan-Comic Convention. There he hopelessly falls for the world of doujinshi (fanzines), and starts drawing and publishing his own.
	"
38,124,Asagiri no Miko,TV Series,6.12,"Action, Comedy, Drama, Fantasy, Magic, School, Sci-Fi, Shounen, Slice of Life, Super Power, Supernatural",26,17,2002,0,"Amatsu Tadahiro is a high school student who inherits the blood of the Saniwa, and because of that he always being targeted by evil spirits. However he has no slightest clue why his body is attracting those evil spirits.
In order to protect Amatsu Tadahiro and the town from evil spirits, the shrine maiden committee is formed. Three Hieda sisters plus couple more girls from high school joined the shrine maiden committee. But can they fight against those evil spirits led by Ayatachi Michimune? And how about the growing love between Yuzu and Tadahiro?
	"
39,125,Groove Adventure Rave,TV Series,7.0,"Adventure, Comedy, Fantasy, Romance, Shounen",51,16,2001,0,"RAVE takes place on another world that was at one point dominated by a light stone (Rave), and a dark stone (Darkbring). There was a fierce battle between the two which led to an explosion that destroyed 1/10 of the world. After 50 years, Darkbring was revived by a group called the Demon Card. Demon Card uses the power of Darkbring to bring chaos to the world. Only the power of the light stone can resist it... Rave. Could Haru who catched Plue from the ocean and inherited Rave from Rave Master Shiba save the world? Watch as his adventure begins!
	"
40,126,Whistle!,TV Series,7.54,"School, Shounen, Sports",39,4,2002,0,"Whistle! is based on a popular manga under the same title published on weekly Shounen Jump by Higuchi Daisuke. It was made into anime to celebrate 2002 FIFA World Cup which will be co-hosted by Japan and Korea.
The story focuses on Kazamatsuri Shou, one of the best junior high school soccer player. The theme of the anime is youth, friendship, a hero who try hard without giving up his dream to be the best soccer player and his team mates.
There are 30 seconds of soccer mini lesson on every episode to introduce the foundation of soccers such as how to kick...
	"
